Station,date,dsp_toxins
LAG,2021-01-19,36.0
LAG,2021-01-26,36.0
LAG,2021-02-02,36.0
LAG,2021-02-09,36.0
LAG,2021-02-16,36.0
LAG,2021-02-23,36.0
LAG,2021-03-02,36.0
LAG,2021-03-08,36.0
LAG,2021-03-16,36.0
LAG,2021-03-22,36.0
LAG,2021-03-30,36.0
LAG,2021-04-06,36.0
LAG,2021-04-13,36.0
LAG,2021-04-20,36.0
LAG,2021-04-27,36.0
LAG,2021-05-04,36.0
LAG,2021-05-11,36.0
LAG,2021-05-18,36.0
LAG,2021-05-25,36.0
LAG,2021-06-01,36.0
LAG,2021-06-08,36.0
LAG,2021-08-30,108.776365673548
LAG,2021-09-07,164.20618231256492
LAG,2021-09-14,152.78136241900464
LAG,2021-09-21,257.55025230284525
LAG,2021-09-28,174.2195262641946
LAG,2021-10-06,58.18379594176637
LAG,2021-10-12,36.0
LAG,2021-10-19,83.52200504891037
LAG,2021-10-26,36.0
LAG,2021-11-02,36.0
LAG,2021-11-09,36.0
LAG,2021-11-16,36.0
LAG,2021-11-23,36.0
LAG,2021-12-07,36.0
LAG,2021-12-13,36.0
LAG,2021-12-21,36.0
LAG,2021-12-28,36.0
LAG,2022-01-04,61.0
LAG,2022-01-11,36.0
LAG,2022-01-18,36.0
LAG,2022-01-25,36.0
LAG,2022-02-01,36.0
LAG,2022-02-08,36.0
LAG,2022-02-15,36.0
LAG,2022-02-22,36.0
LAG,2022-02-28,36.0
LAG,2022-03-08,36.0
LAG,2022-03-24,36.0
LAG,2022-04-05,36.0
LAG,2022-04-12,36.0
LAG,2022-04-19,36.0
LAG,2022-04-26,36.0
LAG,2022-05-03,36.0
LAG,2022-05-17,352.0
LAG,2022-06-21,161.40484388863547
LAG,2022-06-28,36.0
LAG,2022-07-05,66.05046268165376
LAG,2022-07-12,36.0
LAG,2022-07-19,65.38714122228187
LAG,2022-07-26,54.56001701624462
LAG,2022-08-02,36.0
LAG,2022-08-16,36.0
LAG,2022-08-23,36.0
LAG,2022-08-30,96.03923255794818
LAG,2022-09-13,36.0
LAG,2022-09-20,36.0
LAG,2022-09-27,69.69428314929338
LAG,2022-10-03,36.0
LAG,2022-10-11,104.0
LAG,2022-10-18,325.0
LAG,2022-11-02,121.47430995160713
LAG,2022-11-08,60.19263155921388
LAG,2022-11-15,36.0
LAG,2022-11-29,36.0
LAG,2022-12-06,36.0
LAG,2022-12-13,36.0
LAG,2022-12-27,36.0
LAG,2023-01-10,36.0
LAG,2023-01-17,36.0
LAG,2023-01-24,36.0
LAG,2023-01-31,36.0
LAG,2023-02-07,36.0
LAG,2023-02-15,36.0
LAG,2023-02-28,36.0
LAG,2023-03-07,36.0
LAG,2023-03-14,36.0
LAG,2023-03-21,36.0
LAG,2023-04-04,36.0
LAG,2023-04-11,153.192590518639
LAG,2023-04-19,101.288180700318
LAG,2023-04-26,148.65923733012
LAG,2023-05-02,113.496155017419
LAG,2023-05-09,96.2365914458969
LAG,2023-06-06,36.0
LAG,2023-06-13,117.803775013144
LAG,2023-06-20,88.4101709423085
LAG,2023-06-27,36.0
LAG,2023-07-04,57.0
LAG,2023-07-11,36.0
LAG,2023-07-18,36.0
LAG,2023-07-26,36.0
LAG,2023-08-01,36.0
LAG,2023-08-17,36.0
LAG,2023-08-22,61.4797045357513
LAG,2023-08-29,62.1047790622362
LAG,2023-09-05,72.1240515421455
LAG,2023-09-12,36.0
LAG,2023-09-19,65.3809832054185
LAG,2023-10-03,66.36241010193751
LAG,2023-10-10,51.555019073479
LAG,2023-10-17,36.0
LAG,2023-10-24,36.0
LAG,2023-10-31,36.0
LAG,2023-11-07,36.0
LAG,2023-11-14,36.0
LAG,2023-11-21,36.0
LAG,2023-11-28,36.0
LAG,2023-12-19,36.0
LAG,2024-01-09,36
LAG,2024-01-23,36
LAG,2024-02-06,36
LAG,2024-02-14,36
LAG,2024-02-20,36
LAG,2024-02-27,36
LAG,2024-03-05,36
LAG,2024-03-12,36
LAG,2024-03-26,74.9514405672741
LAG,2024-04-02,36
LAG,2024-04-09,68.9403915002471
LAG,2024-04-15,64.5940494737819
LAG,2024-04-30,80.4541554409229
LAG,2024-12-17,36
LAL,2021-01-06,36.0
LAL,2021-01-13,36.0
LAL,2021-01-20,36.0
LAL,2021-01-26,36.0
LAL,2021-02-03,36.0
LAL,2021-02-10,36.0
LAL,2021-02-18,36.0
LAL,2021-02-24,78.9611753671555
LAL,2021-03-02,81.76360283986062
LAL,2021-03-11,71.05226784901299
LAL,2021-03-17,144.69390093034423
LAL,2021-03-22,36.0
LAL,2021-03-29,77.82064720247763
LAL,2021-04-05,130.8299565625
LAL,2021-04-07,127.802867422646
LAL,2021-04-12,36.0
LAL,2021-04-20,36.0
LAL,2021-04-26,61.47363370304538
LAL,2021-05-05,36.0
LAL,2021-05-13,36.0
LAL,2021-05-19,36.0
LAL,2021-05-25,36.0
LAL,2021-05-31,36.0
LAL,2021-06-08,80.62490903075955
LAL,2021-06-16,74.09180539021783
LAL,2021-06-30,36.0
LAL,2021-07-07,36.0
LAL,2021-07-12,78.0
LAL,2021-07-22,36.0
LAL,2021-07-28,36.0
LAL,2021-08-02,36.0
LAL,2021-08-11,36.0
LAL,2021-08-16,36.0
LAL,2021-08-23,36.0
LAL,2021-08-30,58.99999999999999
LAL,2021-09-07,36.0
LAL,2021-09-14,36.0
LAL,2021-09-20,36.0
LAL,2021-09-28,36.0
LAL,2021-10-06,36.0
LAL,2021-10-12,36.0
LAL,2021-10-19,36.0
LAL,2021-10-27,36.0
LAL,2021-11-03,36.0
LAL,2021-11-11,36.0
LAL,2021-11-19,36.0
LAL,2021-11-23,36.0
LAL,2021-11-29,36.0
LAL,2021-12-07,71.86237658094025
LAL,2021-12-14,36.0
LAL,2021-12-21,36.0
LAL,2021-12-27,61.310456377407256
LAL,2022-01-04,36.0
LAL,2022-01-10,51.737512421096376
LAL,2022-01-18,36.0
LAL,2022-01-24,36.0
LAL,2022-02-01,36.0
LAL,2022-02-07,36.0
LAL,2022-02-16,219.0571438085074
LAL,2022-02-21,203.44619653597977
LAL,2022-02-24,152.08926766620277
LAL,2022-02-28,198.72366244418055
LAL,2022-03-09,69.29873297007026
LAL,2022-03-16,36.0
LAL,2022-03-22,36.0
LAL,2022-03-30,36.0
LAL,2022-04-06,36.0
LAL,2022-04-11,36.0
LAL,2022-04-19,36.0
LAL,2022-04-27,36.0
LAL,2022-05-03,36.0
LAL,2022-05-10,36.0
LAL,2022-05-17,36.0
LAL,2022-05-25,107.0
LAL,2022-06-01,62.969706501775384
LAL,2022-06-06,36.0
LAL,2022-06-14,36.0
LAL,2022-06-22,36.0
LAL,2022-06-29,36.0
LAL,2022-07-05,36.0
LAL,2022-07-11,61.84792094539335
LAL,2022-07-18,97.11049180852915
LAL,2022-07-27,36.0
LAL,2022-08-01,28.62958711908855
LAL,2022-08-10,36.0
LAL,2022-08-16,36.0
LAL,2022-08-25,36.0
LAL,2022-08-29,25.584853752470472
LAL,2022-09-05,36.0
LAL,2022-09-14,36.0
LAL,2022-09-21,36.0
LAL,2022-09-29,36.0
LAL,2022-10-03,36.0
LAL,2022-10-12,36.0
LAL,2022-10-17,36.0
LAL,2022-10-26,113.0
LAL,2022-11-02,36.0
LAL,2022-11-09,36.0
LAL,2022-11-16,36.0
LAL,2022-11-23,36.0
LAL,2022-11-28,36.0
LAL,2022-12-05,36.0
LAL,2022-12-14,36.0
LAL,2022-12-22,36.0
LAL,2022-12-28,36.0
LAL,2023-01-02,36.0
LAL,2023-01-11,36.0
LAL,2023-01-18,36.0
LAL,2023-01-23,36.0
LAL,2023-02-01,36.0
LAL,2023-02-06,36.0
LAL,2023-02-15,36.0
LAL,2023-02-24,36.0
LAL,2023-03-01,36.0
LAL,2023-03-06,36.0
LAL,2023-03-13,36.0
LAL,2023-03-20,36.0
LAL,2023-03-28,36.0
LAL,2023-04-03,36.0
LAL,2023-04-10,36.0
LAL,2023-04-19,36.0
LAL,2023-04-24,36.0
LAL,2023-05-03,36.0
LAL,2023-05-09,36.0
LAL,2023-05-15,36.0
LAL,2023-05-22,36.0
LAL,2023-05-29,36.0
LAL,2023-06-05,36.0
LAL,2023-06-12,36.0
LAL,2023-06-19,36.0
LAL,2023-06-29,36.0
LAL,2023-07-03,36.0
LAL,2023-07-12,36.0
LAL,2023-07-17,36.0
LAL,2023-07-24,36.0
LAL,2023-07-31,36.0
LAL,2023-08-09,36.0
LAL,2023-08-17,36.0
LAL,2023-08-23,36.0
LAL,2023-08-30,36.0
LAL,2023-09-06,36.0
LAL,2023-09-11,36.0
LAL,2023-09-20,90.1283721016055
LAL,2023-09-26,107.983852609666
LAL,2023-10-04,90.3216930701165
LAL,2023-10-09,36.0
LAL,2023-10-18,36.0
LAL,2023-10-23,36.0
LAL,2023-10-30,36.0
LAL,2023-11-08,36.0
LAL,2023-11-14,59.68318630763213
LAL,2023-11-21,36.0
LAL,2023-11-28,63.94515723273699
LAL,2023-12-04,137.1918478462065
LAL,2023-12-11,527.5247809896525
LAL,2023-12-19,550.0
LAL,2024-01-03,352
LAL,2024-01-22,292.669780082922
LAL,2024-01-30,180.88066521759
LAL,2024-02-05,97.7310040005267
LAL,2024-02-12,99.7183040526036
LAL,2024-02-19,36
LAL,2024-02-28,36
LAL,2024-03-04,65.9320994900442
LAL,2024-03-13,36
LAL,2024-03-20,36
LAL,2024-03-25,36
LAL,2024-04-01,36
LAL,2024-04-10,36
LAL,2024-04-16,36
LAL,2024-04-22,36
LAL,2024-04-29,36
LAL,2024-05-06,36
LAL,2024-05-14,36
LAL,2024-05-20,36
LAL,2024-05-27,36
LAL,2024-06-05,36
LAL,2024-06-11,36
LAL,2024-06-17,36
LAL,2024-06-24,36
LAL,2024-07-03,36
LAL,2024-07-10,36
LAL,2024-07-16,36
LAL,2024-07-22,36
LAL,2024-07-31,47.4251391734763
LAL,2024-08-08,36
LAL,2024-08-12,36
LAL,2024-08-20,36
LAL,2024-08-26,36
LAL,2024-09-02,36
LAL,2024-09-11,36
LAL,2024-09-16,36
LAL,2024-09-25,36
LAL,2024-09-30,36
LAL,2024-10-09,36
LAL,2024-10-16,36
LAL,2024-10-21,36
LAL,2024-10-28,36
LAL,2024-11-04,36
LAL,2024-11-13,36
LAL,2024-11-20,36
LAL,2024-11-25,36
LAL,2024-12-05,36
LAL,2024-12-10,36
LAL,2024-12-16,36
LAL,2025-01-06,36.0
LAL,2025-01-13,36.0
LAL,2025-01-22,36.0
LAL,2025-01-29,36.0
LAL,2025-02-05,36.0
LAL,2025-02-11,36.0
LAL,2025-02-19,36.0
LAL,2025-02-26,36.0
LAL,2025-03-03,36.0
LAL,2025-03-13,36.0
LAL,2025-03-17,36.0
LAL,2025-03-27,36.0
LAL,2025-04-03,36.0
LAL,2025-04-09,36.0
LAL,2025-04-14,36.0
LAL,2025-04-22,36.0
LAL,2025-04-28,36.0
LAL,2025-05-07,36.0
LAL,2025-05-14,36.0
LAL,2025-05-19,36.0
LAL,2025-05-27,36.0
LAL,2025-06-03,36.0
LAL,2025-06-12,36.0
LAL,2025-06-18,36.0
LAL,2025-06-25,36.0
LAL,2025-06-30,36.0
LAL,2025-07-07,36.0
LAL,2025-07-17,36.0
LAL,2025-07-24,36.0
LAL,2025-07-28,36.0
LAL,2025-08-07,36.0
LAL,2025-08-13,36.0
LAL,2025-08-21,36.0
LAL,2025-08-25,154.130613678664
LAL,2025-09-01,178.049306529112
LAL,2025-09-10,36.0
LAL,2025-09-15,36.0
LAL,2025-09-25,36.0
LAL,2025-10-01,36.0
LAL,2025-10-08,36.0
LAL,2025-10-13,36.0
LAL,2025-10-20,36.0
LAL,2025-10-27,36.0
LAL,2025-11-05,36.0
LAL,2025-11-10,36.0
LAg,2023-08-08,36.0
POR2,2021-01-12,36.0
POR2,2021-01-26,36.0
POR2,2021-02-02,36.0
POR2,2021-02-09,36.0
POR2,2021-02-16,36.0
POR2,2021-02-23,36.0
POR2,2021-03-02,36.0
POR2,2021-03-09,36.0
POR2,2021-03-16,36.0
POR2,2021-03-23,150.73972609483664
POR2,2021-03-30,36.0
POR2,2021-04-06,137.06716412363102
POR2,2021-04-13,36.0
POR2,2021-04-20,135.46838081842162
POR2,2021-04-27,36.0
POR2,2021-05-04,36.0
POR2,2021-05-11,36.0
POR2,2021-05-18,36.0
POR2,2021-05-25,36.0
POR2,2021-06-01,80.0
POR2,2021-06-22,218.2480507866137
POR2,2021-06-29,85.0
POR2,2021-07-06,36.0
POR2,2021-07-20,57.862143296614875
POR2,2021-07-27,36.0
POR2,2021-08-10,36.0
POR2,2021-08-17,36.0
POR2,2021-08-31,90.47750411023574
POR2,2021-09-07,36.0
POR2,2021-09-14,126.29229714115237
POR2,2021-09-21,36.0
POR2,2021-09-21,36.0
POR2,2021-09-28,67.37934028311825
POR2,2021-10-06,36.0
POR2,2021-10-19,58.43284896152749
POR2,2021-11-02,36.0
POR2,2021-11-16,36.0
POR2,2021-11-23,36.0
POR2,2021-12-07,36.0
POR2,2021-12-14,36.0
POR2,2021-12-28,36.0
POR2,2022-01-04,36.0
POR2,2022-01-18,36.0
POR2,2022-01-25,36.0
POR2,2022-02-01,36.0
POR2,2022-02-08,36.0
POR2,2022-02-15,36.0
POR2,2022-02-22,36.0
POR2,2022-03-08,36.0
